Date,BP,JNUG,TSLA
2016-12-29,-4.761904761904678,-20.04787552363867,-20.230354820731876
2016-12-30,-4.812834224598827,-33.2136445242371,-20.601894854170467
2017-01-03,-3.2340208810796134,-20.76600837821677,-19.375812743823083
2017-01-04,-2.4955436720141666,-16.93596648713359,-15.660412409437052
2017-01-05,-1.7825311942958,4.608019150209297,-15.753297417796697
2017-01-06,-3.4632034632033792,-9.395571514063572,-14.917332342559842
2017-01-09,-4.991087344028433,-5.206463195691347,-14.06279026565105
2017-01-10,-5.500381970970125,1.0173548773188212,-14.601523314137022
2017-01-11,-4.37993379169842,1.4961101137042077,-14.638677317480875
2017-01-12,-3.8451744334096483,-0.7779772591264278,-14.694408322496667
2017-01-13,-4.099821746880494,0.17953321364436725,-11.666357049972053
2017-01-17,-4.660045836516346,10.113704368641363,-12.465168121865045
2017-01-18,-5.525846702317194,-0.05984440454832596,-11.443433029908878
2017-01-19,-6.035141329258886,-0.8976660682227688,-9.437116849340432
2017-01-20,-6.187929717341378,2.4536205864750027,-9.06557681590181
2017-01-23,-6.748153806977242,9.754637941352296,-7.523685677131608
2017-01-24,-6.009676597911795,6.523040095750865,-5.40590748653158
2017-01-25,-5.7040998217467775,3.889886295631184,-5.461638491547383
2017-01-26,-6.442577030812224,-5.206463195691358,-6.186141556752666
2017-01-27,-6.850012732365585,0.17953321364436725,-6.018948541705294
2017-01-30,-8.42882607588481,-0.5385996409337235,-6.8734906186140865
2017-01-31,-8.37789661319065,6.8821065230399325,-6.390488575143916
2017-02-01,-8.352431881843547,9.634949132255954,-7.3936466654281325
2017-02-02,-8.861726508785239,16.93596648713327,-6.53910458851934
2017-02-03,-8.530685001273131,20.526630760023767,-6.613412595207057
2017-02-06,-8.785332314743977,47.69599042489505,-4.2355563812
2017-02-07,-12.452253628724119,44.46439257929362,-4.328441389559645
2017-02-08,-12.324929971988707,47.81567923399139,-2.619357235742059
2017-02-09,-12.299465240641627,33.93177737881488,0.018577001672026583
2017-02-10,-12.070282658517861,42.908438061041075,0.03715400334396435
2017-02-13,-11.739241151005775,37.283064033512645,4.254133382872105
2017-02-14,-11.942959001782437,41.95092758827028,4.402749396247541
2017-02-15,-13.929208046855024,39.67684021543965,3.938324354449274
2017-02-16,-14.23478482302003,45.541591861160754,-0.07430800668765114
2017-02-17,-14.896867838044214,36.9239976062236,1.151774103659764
2017-02-21,-13.852813852813773,31.897067624176945,3.0652052758685544
2017-02-22,-14.922332569391317,31.418312387791538,1.6161991454580082
